[Decode Mode] Current Length of sequences is modified into input_len
Using synthesis trace
ACT: 1.68811GB, Weight: 14.9575GB, Cache: 32.2812GB
Total: 48.9269GB
-----------------------------------
-------------start-----------------
-----------------------------------
Total: 8683516.416000
./data/exp1_fp16_gpu//llama3_8B_synthesis_16400_128_GPU_N1_D4_TP1_DP4_maxbatch64_maxprocess524288_iter1_skew0_precision_byte2_parallel_execution0_ramul_decode.csv
LLM | 8683.5us  | 0 - 8683.5 | tensor(1, 128256) -> tensor(16, 128256) | ACT: 65.381mJ  | RD: 1353.6mJ  | WR: 1.635mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 83.193mJ  | Total: 1420.6mJ | compute util: 0, memory util: 0, Op/B 7.269 | qk=3051.1us softmax=0us score_v=3079.1us kv_quant=0us
		post_attn_layer_norm | 0.033792us  | 208.02 - 208.05 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		feedforward | 63.259us  | 208.05 - 271.31 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.49007mJ  | RD: 9.8556mJ  | WR: 0.04197mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 1.2965mJ  | Total: 10.388mJ | compute util: 0, memory util: 0, Op/B 15.858
			gate_proj | 21.109us  | 208.05 - 229.16 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.16708mJ  | RD: 3.2736mJ  | WR: 0.012773mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 3.4535mJ | compute util: 0, memory util: 0, Op/B 15.92
				Linear | 21.109us  | 208.05 - 229.16 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.16708mJ  | RD: 3.2736mJ  | WR: 0.012773mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 3.4535mJ | compute util: 0.050867, memory util: 0.69893, Op/B 15.92, GPU
			activation | 0.218us  | 229.16 - 229.38 | tensor(16, 14336) -> tensor(16, 14336) | ACT: 0mJ  | RD: 0.025547mJ  | WR: 0.012773mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0.03832mJ | compute util: 0, memory util: 0.78914, Op/B 0, GPU
			up_proj | 21.109us  | 229.38 - 250.49 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.16708mJ  | RD: 3.2736mJ  | WR: 0.012773mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 3.4535mJ | compute util: 0, memory util: 0, Op/B 15.92
				Linear | 21.109us  | 229.38 - 250.49 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.16708mJ  | RD: 3.2736mJ  | WR: 0.012773mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 3.4535mJ | compute util: 0.050867, memory util: 0.69893, Op/B 15.92, GPU
			down_proj | 20.823us  | 250.49 - 271.31 | tensor(16, 14336) -> tensor(16, 4096) | ACT: 0.15591mJ  | RD: 3.2828mJ  | WR: 0.0036495mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 3.4423mJ | compute util: 0, memory util: 0, Op/B 15.92
				Linear | 20.823us  | 250.49 - 271.31 | tensor(16, 14336) -> tensor(16, 4096) | ACT: 0.15591mJ  | RD: 3.2828mJ  | WR: 0.0036495mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 3.4423mJ | compute util: 0.051564, memory util: 0.70852, Op/B 15.92, GPU
		all_reduce | 0us  | 271.31 - 271.31 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
